;UUID;Protokoll;URL
3;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;ESRI:REST;https://api3.geo.admin.ch
3;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;ESRI:REST;https://api3.geo.admin.ch
3;055192b1-c378-4e66-8d43-c926f0be7980;ESRI:REST;https://api3.geo.admin.ch
3;f254b380-3652-4a64-82f4-6cd42fd8f6cc;ESRI:REST;https://api3.geo.admin.ch
3;8f35a393-5ee2-44b5-a68e-8d820e968054;ESRI:REST;https://api3.geo.admin.ch
3;6fa32c65-988d-4e09-8034-6c5abcbd4e3f;ESRI:REST;https://api3.geo.admin.ch
3;4540e0db-04c7-4509-b809-11542e7acba9;ESRI:REST;https://api3.geo.admin.ch
3;f0835478-07fc-4e12-bf48-51646a59c809;ESRI:REST;https://api3.geo.admin.ch
3;e3437f64-68e1-4b07-ae35-22597ca89cc2;ESRI:REST;https://api3.geo.admin.ch
6;c967f055-9482-4bcb-a1bb-8de7971e7293;ESRI:REST;https://api3.geo.admin.ch
3;61a79435-b986-495e-b3ea-fe97c4abd558;ESRI:REST;https://api3.geo.admin.ch
3;27a33007-d187-41d9-97b7-6dc733a06e9b;ESRI:REST;https://api3.geo.admin.ch
3;d23ebfb6-00a4-44d6-8463-4d34d57a5ff4;ESRI:REST;https://api3.geo.admin.ch
3;333489d5-6ea1-468d-b1d5-bd213d9f1d0b;ESRI:REST;https://api3.geo.admin.ch
3;aee88d88-6fa6-445c-8d4d-5b40f592436b;ESRI:REST;https://api3.geo.admin.ch
3;b8193af2-bc91-4baa-92aa-64c6cbccb4a8;ESRI:REST;https://api3.geo.admin.ch
3;171a7520-27b2-4a60-9251-acf9b450d6b6;ESRI:REST;https://api3.geo.admin.ch
3;ed80ebde-99a0-4523-bc8a-4ec23426d966;ESRI:REST;https://api3.geo.admin.ch
