UUID,Title,Email,Error Message,Invalid URL,Missing Layer Name
058a5694-95b1-462f-a44b-05ad0a81309a,-- BGDI & Geobasisdaten DE/FR/IT/EN --,No Email Available,Invalid service URL for ESRI:REST protocol,-- MD spezifische URL zu https://api3.geo.admin.ch/ --?VERSION=1.3.0&REQUEST=GetCapabilities,
058a5694-95b1-462f-a44b-05ad0a81309a,-- BGDI & Geobasisdaten DE/FR/IT/EN --,No Email Available,Invalid service URL for ESRI:REST protocol,-- URL spécifique pour les métadonnées sur https://api3.geo.admin.ch/ --?VERSION=1.3.0&REQUEST=GetCapabilities,
05c2bece-ff2a-4db1-bb9f-ea4e4385ebcc,Accessibilité aux villes de plus de 50 000 habitants - 2020 PDF / Erreichbarkeit der Städte über 50 000 Einwohner - 2020 PDF,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
07be24c9-be9d-4432-b1b6-9e205ec2c2c7,Industries,nils.oesterling@swisstopo.ch,Invalid service URL for OGC:WMS protocol,"http://swisstopo.geops.ch/geoserver/swisstopo/wms?service=WMS&version=1.1.0&request=GetMap&layers=swisstopo:industryTest&styles=&bbox=5.0,44.0,10.0,48.0&width=512&height=409&srs=EPSG:4326&format=application/openlayers&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities",
08a320e6-1e38-480d-a22d-2dbd0801a66a,Naturgefahren Schutzbauten,info@awn.gr.ch,Invalid service URL for OGC:WMS protocol,https://katalog.geo.gr.ch/webmap01/wms/geoservices/wms/verbauungen_intern/login_forward_internet.php?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
09d0ed3b-7bf4-4301-bb23-2027fd160ab5,ÖREB-Kataster Fürstentum Liechtenstein,vermessung@llv.li,Invalid service URL for OGC:WMS protocol,https://geoservices.llv.li/oerebli/service?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
09ec9fe3-9527-4029-96eb-534bdf2fd639,Fremdenverkehrsgemeinden,info.awi@be.ch,Invalid service URL for OGC:WMS protocol,https://www.geoservice.apps.be.ch/geoservice3/services/a42geo/of_economy01_de_ms_wms/MapServer/WMSServer?&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de&,
0ce47aac-8a14-4907-bedd-a850d3de6872,Heat flow Lines,nils.oesterling@swisstopo.ch,Invalid service URL for OGC:WMS protocol,"http://swisstopo.geops.ch/geoserver/swisstopo/wms?service=WMS&version=1.1.0&request=GetMap&layers=swisstopo:heatFlowLineTest_WGS84&styles=&bbox=6.536429259689217,45.96452289074837,9.88179989473991,47.68507871081211&width=641&height=330&srs=EPSG:4326&format=application/openlayers&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities",
0f96ee51-bd50-4b76-86eb-5f8b0e3fe279,swisstopo geoservices WMS,info@swisstopo.ch,Invalid service URL for OGC:WMS protocol,https://wms.swisstopo.admin.ch/wss/httpauth/swisstopowms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
1d7835c6-b4d5-456b-87a8-57ca1eb4110d,Surface Agricole Utilisée PDF - 2018 / Landwirtschaftliche Nutzfläche PDF - 2018,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
24f7535a-231a-42e8-8d9e-1f85d4278066,Planung der Revitalisierung von Fliessgewässern,umwelt.afu@tg.ch,Invalid service URL for OGC:WMS protocol,https://ows.geo.tg.ch/geofy_access_proxy/revitalisierung_gewaesser?Service=WMS&Version=1.3.0&Request=GetCapabilities&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
25a90b8d-44ee-4a74-9c8d-68e7d5e5fc6c,Répartition de la population de 10 000 à moins de 50 000 habitants 2016 PDF / Räumliche Verteilung der Bevölkerung von 10 000 bis weniger als 50 000 Einwohner - 2016 PDF,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
28cd0df7-2da0-47e7-8590-1025a4c63d71,Densité de population 2016 PDF / Bevölkerungsdichte 2016 PDF,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
2e917947-1941-418c-8b8c-71ef8135c124,Répartition de la population de 1 000 à moins de 5 000 habitants 2016 PDF / Räumliche Verteilung der Bevölkerung von 1 000 bis weniger als 5 000 Einwohner - 2016 PDF,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
313ce7a0-445c-46d2-8a52-d9f0b2e460ee,Éoliennes PDF / Windkraftanlagen PDF - 2018,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
33424ff5-48f0-47ba-ab34-c11b56edbcaf,GeoMol-Buntsandstein,nils.oesterling@swisstopo.ch,Invalid service URL for OGC:WMS protocol,"http://swisstopo.geops.ch/geoserver/geomol/wms?service=WMS&version=1.1.0&request=GetMap&layers=geomol:Pilot_Potential_Buntsandstein&styles=&bbox=2583106.077719626,1214604.2506515323,2634704.567139669,1243072.184890997&width=598&height=330&srs=EPSG:2056&format=application/openlayers&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities",
3640902d-e8ec-438c-847c-2b46a93776cb,Répartition de la population 2016 PDF / Räumliche Verteilung der Bevölkerung 2016 PDF,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
39aece38-2028-46cf-b699-62194d408bc3,Grandes-lignes de bus transfrontaliers PDF / Grenzüberschreitende Bus-Fernverbindungen PDF - 2018,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
39aece38-2028-46cf-b699-62194d408bc3,Grandes-lignes de bus transfrontaliers PDF / Grenzüberschreitende Bus-Fernverbindungen PDF - 2018,,Invalid service URL for OGC:WMS protocol,https://sdi.georhena.eu/geoserver/georhena/ows?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
